"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"1","University of Oregon (UO)","Psychology",19000,0.91,"2022-2023","1st",NA,"$19,000","$500","$500",NA,"psychology"
"2","Pennsylvania State University (Penn State)","Civil & Environmental Engineering",30000,1.34,"2022-2023","5th",NA,"$30,000",NA,NA,NA,"environment"
"3","Northwestern University (NU)","MSTP",38000,1.57,"2022-2023","3rd","$38,500",NA,NA,"$500",NA,"medical science"
"4","Stanford University (SU)","History",52375,1.82,"2022-2023","1st","$52,375",NA,NA,NA,NA,"history"
"5","University of Michigan - Ann Arbor (UM)","Electrical Engineering",37000,1.6,"2022-2023","3rd","$37,000",NA,NA,NA,NA,"electrical engineering"
"6","University of Massachusetts - Amherst (UMass)","Molecular and Cellular Biology",33081,1.44,"2022-2023","2nd","$33,081",NA,NA,NA,"from 9/4/22 to 9/2/23","biology"
"7","Pennsylvania State University (Penn State)","Math",24000,1.07,"2022-2023","5th",NA,"$24,000",NA,NA,NA,"mathematics"
"8","University of Cincinnati (UC)","Classics",26000,1.35,"2022-2023","1st",NA,"$22,500","$3,500",NA,NA,"classical studies"
"9","South Dakota State University (SDSU)","Mechanical Engineering",15300,0.81,"2022-2023","1st",NA,"$15,300",NA,NA,NA,"mechanical engineering"
"10","North Dakota State University (NDSU)","Plant Science",25000,1.3,"2022-2023","2nd","$25,000",NA,NA,NA,"Masters student get equal or almost same stipend as phd students. So many hidden costs, you cant live by","algruiculture"
"11","Stony Brook University - SUNY","Computer Science",32164,1.15,"2018-2019","1st","$34,360",NA,NA,"$2,196","$19360 10-month TA
$10000 Summer RA
$5000 one-time fellowship (like a signon bonus)","computer science"
"12","Michigan State University (MSU)","Agricultural, Food, and Resource Economics",27300,1.33,"2022-2023","2nd","$27,300",NA,NA,NA,NA,"nutrition"
"13","Texas Christian University (TCU)","Psychology",23000,1.05,"2022-2023","1st","$23,000",NA,NA,NA,NA,"psychology"
"14","University of Kansas (KU)","Philosophy",18650,0.91,"2022-2023","2nd",NA,"$18,650",NA,NA,"Official fees: $275 (after a 75% reduction) for health insurance (waivable if you are insured already) and $250 for the required fee. If you are an international student, there is a fee for International student service ($170).  

Summer funding (in terms of teaching or fellowship) is available for students who have passed the qualifying paper examination (after the second year). Some fellowships from the Hall Center that exempt students from teaching are also available (for any year).  The TA's maximum working hours are 20 hours per week, although most TAs have never worked that long.","philosophy"
"15","Duke University (DU)","Biology",32000,1.44,"2022-2023","5th","$32,000",NA,NA,NA,NA,"biology"
"16","Purdue University - West Lafayette","Chemical Engineering",31600,1.49,"2022-2023","1st","$33,500",NA,NA,"$1,900",NA,"chemistry"
"17","Western Michigan University (WMU)","Medieval Studies",14000,0.69,"2022-2023","1st",NA,"$14,500",NA,"$500","Union contract with 5 days sick leave, no health insurance,  9 credit hours per semester of tuition with the option to defer 3 credits to the summer, you pay your student fees, there is a small ""lump sum"" on the second paycheck of the academic year that is meant to cover fees, if you have a ""full appointment"" (which are these terms) you'll TA for two courses.","medieval studies"
"18","Rice University","organizational behavior",40000,1.83,"2022-2023",NA,"$40,000",NA,NA,NA,NA,"organizational behavior"
"19","University of Houston (UH)","geology",18000,0.82,"2022-2023","2nd","$18,000",NA,NA,NA,NA,"geoscience"
"20","University of North Carolina - Chapel Hill (UNC)","Maternal and Child Health",15500,0.7,"2021-2022","2nd",NA,"$16,000",NA,"$500",NA,"health"
"21","University of Wisconsin - Madison (UW)","Economics",23500,1.03,"2022-2023","2nd",NA,"$25,000",NA,"$1,500",NA,"economics"
"22","Jackson State University (JSU)","mechanical",27000,1.33,"2022-2023","1st","$30,000",NA,NA,"$3,000",NA,"mechanical engineering"
"23","Polytechnique Montreal","Mechanical Engineering",31000,NA,"2020-2021","5th","$35,000",NA,NA,"$4,000",NA,"mechanical engineering"
"24","Stanford University (SU)","Developmental Biology",51600,1.8,"2022-2023",NA,"$51,600",NA,NA,NA,"Pay $1700/mo in rent (hard to find much cheaper around here, usually ranges from 1300 - 2000, and that's with roommates).","biology"
"25","Brandeis University","Social Policy",21000,0.75,"2022-2023","2nd",NA,"$21,000",NA,NA,NA,"political science"
"26","SUNY College of Environmental Science and Forestry","ERE",22000,1.03,"2022-2023",NA,"$24,000",NA,NA,"$2,000",NA,"ere"
"27","Washington State University (WSU)","Plant Pathology",22000,1.16,"2022-2023","3rd","$24,000",NA,NA,"$2,000",NA,"algruiculture"
"28","University of Texas - Austin (UT)","Philosophy",25000,1.1,"2022-2023",NA,NA,"$20,000","$5,000",NA,"We only get Summer pay for the first 2 years. Health insurance included.","philosophy"
"29","Tufts University (TU)","Electrical & Computer Engineering (PhD)",36180,1.3,"2022-2023","2nd","$36,180",NA,NA,NA,"12-month RA; includes health insurance","electrical engineering"
"30","Brown University","socio",40000,1.76,"2022-2023",NA,NA,"$40,000",NA,NA,NA,"socio"
"31","Stanford University (SU)","Earth and Planetary Sciences",51000,1.78,"2022-2023","2nd","$51,000",NA,NA,NA,NA,"earth science"
"32","University of Southern California (USC)","BME",40000,1.55,"2022-2023",NA,"$40,000",NA,NA,NA,NA,"biomed"
"33","Indiana University","Media School",22000,1.02,"2022-2023","1st",NA,"$22,000",NA,NA,NA,"film and media"
"34","Virginia Tech","Architecture",13320,0.63,"2021-2022","1st",NA,"$16,524",NA,"$3,204",NA,"architecture"
"35","Nc state","Geospatial analytics",27600,NA,"2022-2023","2nd","$30,000",NA,NA,"$2,400",NA,"geoscience"
"36","University of California - Los Angeles (UCLA)","Math",28000,1.08,"2022-2023","4th",NA,"$28,000",NA,NA,NA,"mathematics"
"37","Brandeis University","Physics",37500,1.34,"2022-2023","1st","$37,500",NA,NA,NA,NA,"physics"
"38","University of California - Los Angeles (UCLA)","Gender Studies",28500,1.1,"2022-2023","1st","$28,500",NA,NA,NA,NA,"gender studies"
"39","University of Wisconsin - Madison (UW)","History",22500,0.99,"2022-2023","5th",NA,"$23,000",NA,"$500",NA,"history"
"40","University of Maryland - College Park (UMD)","Chemical Physics",28443,0.94,"2022-2023","1st","$28,443",NA,NA,NA,NA,"chemistry"
"41","University of Kansas (KU)","Philosophy",14900,0.73,"2022-2023","1st",NA,"$14,900",NA,NA,"This is the actual stipend received after tax. A lot of campus fees. A lot of TA works. 4 discussion sections every term and you must attend the lecture of your TA course. Medical insurance is not fully covered. Avoid.","philosophy"
"42","Colorado State University (CSU)","Systems Engineering",36300,1.62,"2022-2023","2nd","$38,000",NA,NA,"$1,700",NA,"systems engineering"
"43","Washington University in St. Louis (Wash U)","Molecular Cell Biology",34500,1.67,"2022-2023",NA,"$34,500",NA,NA,NA,NA,"biology"
"44","University of Georgia (UGA)","Chemistry",35000,1.65,"2022-2023","1st",NA,"$25,000","$10,000",NA,NA,"chemistry"
"45","Carnegie Mellon University (CMU)","Information Systems and Public Policy",29600,1.43,"2022-2023","1st",NA,"$30,000",NA,"$400",NA,"information science"
"46","Brown University","Anthropology",43000,1.89,"2022-2023","5th","$43,000",NA,NA,NA,NA,"anthropology"
"47","Texas A&amp;M; University - College Station","Computer Engineering",27000,NA,"2022-2023","1st","$27,000",NA,NA,NA,NA,"electrical engineering"
"48","University of Southern California (USC)","Engineering",37904,1.46,"2022-2023","4th","$38,000",NA,NA,"$96",NA,"engineering"
"49","Northwestern University (NU)","Philosophy",36195,1.49,"2022-2023","1st","$36,195",NA,NA,NA,NA,"philosophy"
"50","Ohio State University (OSU)","Food Agricultural and Biological Engineering",25000,1.25,"2022-2023","6th and up","$25,000",NA,NA,NA,NA,"nutrition"
"51","University of Arizona (U of A)","Gender and Women's Studies",21500,1.04,"2022-2023","1st",NA,"$20,000","$2,500","$1,000","Summer pay is for teaching one session (5 weeks) of a gen ed course; there's an option to teach two sessions","gender studies"
"52","The Hebrew University of Jerusalem","Field and Vegetable Crops",12000,NA,"2021-2022","1st","$12,000",NA,NA,NA,NA,"field and vegetable crops"
"53","New York University (NYU)","Music",31000,1.04,"2021-2022",NA,NA,"$31,000",NA,NA,NA,"music"
"54","Southern Illinois University - Carbondale (SIUC)","Pharmacology and Neuroscience",21020,1.05,"2022-2023","1st","$21,720",NA,NA,"$700","Fees listed are for students exclusively on the SIU School of Medicine campus in Springfield. Stipend does not include health insurance which costs $1150 per semester in the 23-24 school year.

Health insurance costs go up by $200 /year every year. I'm personally on food stamps and medicaid because I can't afford the insurance offered by the school and it does not seem like they are going to change any time soon.

The school has a $400M investment fund and hands out $150,000 bonuses to the members of the Board of Trustees while their PhD students are on the verge of poverty and work 40-60 hours per week.","neuroscience"
"55","King Abdullah University of Science and Technology","BESE",30000,NA,"2022-2023","2nd","$30,000",NA,NA,NA,NA,"bese"
"56","University of Central Florida (UCF)","Criminal Justice",17079,0.74,"2022-2023",NA,NA,"$15,000","$6,000","$3,921",NA,"criminology"
"57","University of Colorado - Boulder (UCB)","Computer Science",36000,1.41,"2022-2023","2nd","$36,000",NA,NA,NA,NA,"computer science"
"58","Cornell University (CU)","Engineering",41000,1.69,"2022-2023","5th","$41,000",NA,NA,NA,NA,"engineering"
"59","New York University (NYU)","IFA",32000,1.08,"2022-2023","6th and up",NA,"$32,000",NA,NA,NA,"ifa"
"60","CUNY Graduate School and University Center","Biology PhD",34998,1.18,"2022-2023","1st","$34,998",NA,NA,NA,NA,"biology"
"61","University of California - Irvine (UCI)","Chemistry",37000,1.27,"2022-2023","2nd","$37,000",NA,NA,NA,"All tuition/heath fees covered. Services fee each term TA'd but it is reimbursed by the department in summer. Summer salary is used to ""make up"" that TAing term salaries are lower than research term salaries.","chemistry"
"62","University of Alabama - Huntsville (UAH)","Biotechnology",30000,1.41,"2022-2023","1st","$30,000",NA,NA,NA,"I was offered health insurance, but an covered by spouse. Raises are based on a yearly schedule, and can go up to 38k. Doctoral students are paid more than Masters students.","biotechnology"
"63","College of William and Mary (W&amp;M)","Psychological Science MS",18660,NA,"2022-2023","1st",NA,"$13,995","$4,665",NA,"Summer funding is provided for MS students between their first and second year","psychology"
"64","Cornell University (CU)","AEP",39850,1.64,"2022-2023",NA,"$39,900",NA,NA,"$50",NA,"aep"
"65","Mount Sinai School of Medicine","Biomedical Sciences",47000,1.58,"2022-2023","4th","$47,000",NA,NA,NA,NA,"biomed"
"66","University of Calgary","Communication",15000,NA,"2022-2023","1st","$25,000",NA,NA,"$10,000","CAD","communication"
"67","University of Florida (UF)","Physics",23600,1.04,"2022-2023","2nd","$25,000",NA,NA,"$1,400",NA,"physics"
"68","Southern Methodist University (SMU)","Biological Sciences",30000,1.39,"2022-2023","4th","$30,000",NA,NA,NA,NA,"biology"
"69","Ohio State University (OSU)","Finance",37000,1.84,"2022-2023","1st","$37,000",NA,NA,NA,"Fisher College of Business; 
no teaching in years 1 and 2","finance"
"70","Pennsylvania State University (Penn State)","atmospheric sciences",29900,1.33,"2022-2023","1st","$30,000",NA,NA,"$100",NA,"atmospheric sciences"
"71","Georgia Institute of Technology (Georgia Tech)","biomolecular and chemical engineering",32323,1.39,"2022-2023","4th","$35,400",NA,NA,"$3,077",NA,"biology"
"72","Massachusetts Institute of Technology (MIT)","Physics",46900,1.68,"2022-2023","1st","$46,900",NA,NA,NA,NA,"physics"
"73","Boston University (BU)","Astronomy",38193,1.33,"2022-2023","2nd","$38,193",NA,NA,NA,NA,"astronomy"
"74","Boston University (BU)","Speech, Language, & Hearing Sciences",42078,1.47,"2022-2023","3rd","$42,078",NA,NA,NA,"Includes 10% raise over base stipend of $38,258 for securing external funding of at least $20,000","language"
"75","University of Texas - Austin (UT)","Civil Engineering (structural)",29000,1.27,"2022-2023","1st","$29,000",NA,NA,NA,NA,"civil engineering"
"76","University of Pittsburgh","Economics/PhD",21450,1.04,"2022-2023","3rd","$21,480",NA,NA,"$30",NA,"economics"
"77","University of Wisconsin - Madison (UW)","Biophysics",33000,1.45,"2022-2023",NA,"$33,000",NA,NA,NA,NA,"physics"
"78","University of Houston (UH)","English",18100,0.83,"2022-2023","4th",NA,"$18,100",NA,NA,NA,"english"
"79","Duke University (DU)","Pharmacology and Cancer Biology",33660,1.51,"2022-2023",NA,"$33,660",NA,NA,NA,NA,"biology"
"80","University at Albany - SUNY","Mathematics",19000,0.83,"2022-2023","4th",NA,"$22,000",NA,"$3,000",NA,"mathematics"
"81","Ohio State University (OSU)","Social Work",33033,1.65,"2022-2023","3rd","$33,333",NA,NA,"$300","GRA (full time is 20hrs/week). This includes summer funding.","sociology"
"82","Portland State University (PSU)","World Languages and Literatures",20000,0.85,"2022-2023","1st",NA,"$16,000","$4,000",NA,NA,"language"
"83","University of Illinois - Chicago (UIC)","Sociology",18604,0.77,"2022-2023","4th",NA,"$19,404",NA,"$800","The stipend comes with a tuition waiver, so this is how much I get every month for 9 months after taxes. I am a TA for one class and work 20 hours/week. Fees are every semester (~$800) and this is not covered by the tuition waiver. You can apply for summer funding but it is not always guaranteed.","sociology"
"84","University of Michigan - Ann Arbor (UM)","NERS",36600,1.59,"2022-2023",NA,"$36,600",NA,NA,NA,NA,"ners"
"85","University of Michigan - Ann Arbor (UM)","Anthropology and History",37887,1.64,"2022-2023","3rd","$37,887",NA,NA,NA,NA,"history"
"86","University of Washington (UW)","Political Science",28975,1.24,"2022-2023","1st",NA,"$25,011","$5,000","$1,036",NA,"political science"
"87","University of Colorado - Denver (UCD)","Rehabilitation Sciences",34000,1.52,"2022-2023","2nd","$34,000",NA,NA,NA,NA,"rehabilitation sciences"
"88","West Virginia University (WVU)","Biochemistry and Molecular medicine",28000,1.25,"2022-2023","6th and up","$30,000",NA,NA,"$2,000","$1500/year fees + $500/year international student fee","biology"
"89","Southern Methodist University (SMU)","Biostatistics",28000,1.3,"2022-2023","1st","$28,000",NA,NA,NA,NA,"statistics"
"90","University of Massachusetts - Lowell (UML)","Applied Biology",27500,0.98,"2022-2023","1st",NA,"$17,500","$10,000",NA,"tuition, fees, and health insurance are covered by the university (TA) or advisor (RA). TA/RA contracts are 9 months, and summer pay depends on your advisor - in the dept currently, summer pay ranges from $6000-$15000. The 9-month contract for PhD students increases to $19,118.55 after your first year, and $20,538.45 after you qualify for candidacy (typically in/by your third year).","biology"
"91","INSEAD","Technology and Operations Management",35855,NA,"2022-2023","1st","$35,855",NA,NA,NA,"In france.","operations"
"92","Yale University (YU)","ap",40530,1.64,"2022-2023","1st","$40,530",NA,NA,NA,NA,"ap"
"93","University of Oklahoma (OU)","Physics",24000,1.19,"2022-2023","5th","$24,000",NA,NA,NA,NA,"physics"
"94","University of Arkansas - Fayetteville","Mechanical Engineering",16700,0.84,"2022-2023",NA,"$20,000",NA,NA,"$3,300","Very very bad university!
Please everyone make it as your last option.
Once you come here, you will be in a great frustration.","mechanical engineering"
"95","University of Florida (UF)","Graphic Design",17000,0.75,"2022-2023","1st",NA,"$17,000",NA,NA,NA,"graphic design"
"96","University of Pittsburgh","Linguistics",27310,1.32,"2022-2023","2nd","$27,360",NA,NA,"$50","This amount is after tax.","linguistics"
"97","University of Virginia (UVA)","chemical engineering",40000,1.75,"2022-2023","1st","$40,000",NA,NA,NA,NA,"chemistry"
"98","University of Virginia (UVA)","CS",35000,1.53,"2022-2023","1st","$35,000",NA,NA,NA,NA,"computer science"
"99","University of Maryland - College Park (UMD)","Communications",30000,0.99,"2022-2023","1st",NA,"$30,000",NA,NA,NA,"communication"
"100","University of South Florida (UCF)","Physics",21800,0.99,"2022-2023","1st","$24,000",NA,NA,"$2,200","All PhDs at USF needs to pay an additional of $2200 every year. The compulsory fees= $850(fall)+$850(spring)+$500(summer).","physics"
"101","Northeastern University (NU)","PhD in Computer Science",41628,1.45,"2022-2023","1st","$42,128",NA,NA,"$500",NA,"computer science"
"102","Georgia State University (GSU)","Psychology",25800,1.11,"2022-2023","3rd","$27,000",NA,NA,"$1,200","The required fees are for the mandatory health insurance premium, as well as student fees.","psychology"
"103","University of Pennsylvania","Materials Science and Engineering",37000,1.53,"2022-2023","5th","$37,000",NA,NA,NA,NA,"material science"
"104","Texas Tech University (TTU)","physics",28000,1.38,"2022-2023","1st","$28,000",NA,NA,NA,NA,"physics"
"105","Princeton University","Biophysics",51900,2.04,"2022-2023","1st","$51,900",NA,NA,NA,NA,"physics"
"106","University of Arizona (U of A)","Child Health",58608,2.83,"2022-2023","5th","$58,608",NA,NA,NA,NA,"health"
"107","Yale University (YU)","Genetics",38500,1.56,"2022-2023","4th","$40,000",NA,NA,"$1,500",NA,"genetics and genomics"
"108","Massachusetts Institute of Technology (MIT)","Bioengineering",49500,1.77,"2022-2023","5th","$49,800",NA,NA,"$300",NA,"biology"
"109","Brigham Young University (BYU)","Mechanical Engineering",40000,1.93,"2022-2023","3rd","$40,000",NA,NA,NA,NA,"mechanical engineering"
"110","University of Minnesota - Twin Cities (UM)","College of veterinary medicine",26500,1.16,"2022-2023","1st","$29,000",NA,NA,"$2,500","Amounts are yearly calculated","college of veterinary medicine"
"111","Clemson University (CU)","Animal and Veterinary Sciences (PhD)",20000,0.96,"2022-2023",NA,"$20,000",NA,NA,NA,"required to pay health insurance","animal science"
"112","Stanford University (SU)","Doerr School of Sustainability",52000,1.81,"2022-2023","1st","$52,000",NA,NA,NA,NA,"doerr school of sustainability"
"113","Stanford University (SU)","Developmental Biology",58000,2.02,"2022-2023","3rd","$58,000",NA,NA,NA,NA,"biology"
"114","University of Texas - Dallas (UTD)","Biosciences",24000,1.11,"2022-2023",NA,"$24,000",NA,NA,NA,"Insurance is provided","biology"
"115","Rockefeller University","Bioscience",46250,1.56,"2022-2023","1st","$46,250",NA,NA,NA,".","biology"
"116","Harvard University (HU)","Biomedical Informatics",45696,1.6,"2022-2023",NA,"$45,696",NA,NA,NA,NA,"biomed"
"117","Baylor College of Medicine","MSTP",34900,1.6,"2022-2023","1st","$35,500",NA,NA,"$600",NA,"medical science"
"118","Florida State University (FSU)","Program of Neuroscience",19500,0.84,"2022-2023","5th","$24,000",NA,NA,"$4,500","Students can no longer afford to live in Tallahasee and are frequently paid late (sometimes weeks late) causing major hardship. The program is advising that students ask family for money, or take out a loan.","neuroscience"
"119","University of California - San Francisco (UCSF)","Bioengineering and Therapeutic Sciences",46000,1.54,"2022-2023","2nd","$46,000",NA,NA,NA,NA,"biology"
"120","North Carolina State University (NCSU)","Bioinformatics",28000,1.23,"2022-2023","3rd","$31,375",NA,NA,"$3,375",NA,"information science"
"121","Temple University (TU)","Philosophy",29250,1.21,"2022-2023","2nd","$30,000",NA,NA,"$750","University Fellowship","philosophy"
"122","University of Delaware (UD)","Kinesiology and Applied Physiology",25500,1,"2022-2023","3rd","$27,000",NA,NA,"$1,500",NA,"kinesiology"
"123","University of North Carolina - Chapel Hill (UNC)","Pharmaceutical Science/ Chemical Biology and Medicinal Chemistry",32000,1.44,"2022-2023","5th","$32,000",NA,NA,NA,NA,"biology"
"124","George Washington University (GW)","Integrated Biomedical Sciences",39000,1.26,"2022-2023","2nd","$39,000",NA,NA,NA,NA,"biomed"
"125","University of Rochester (UR)","Finance",35500,1.66,"2022-2023",NA,"$35,500",NA,NA,NA,NA,"finance"
"126","University of Colorado - Denver (UCD)","Mathematical and Statistical Sciences",21000,0.94,"2022-2023","5th",NA,"$21,000",NA,NA,NA,"mathematics"
"127","Case Western Reserve University","Physics",27920,1.4,"2022-2023","3rd","$28,000",NA,NA,"$80",NA,"physics"
"128","Case Western Reserve University","Physics",27920,1.4,"2022-2023","3rd","$28,000",NA,NA,"$80",NA,"physics"
"129","Rutgers the State University of New Jersey - New Brunswick","Statistics",36162,1.4,"2022-2023","1st",NA,"$33,162","$3,000",NA,NA,"statistics"
"130","University of Michigan - Ann Arbor (UM)","Mechanical Engineering",36084,1.56,"2022-2023","1st","$36,084",NA,NA,NA,NA,"mechanical engineering"
"131","Embry Riddle Aeronautical University","Physics",22500,NA,"2022-2023","1st",NA,"$17,500","$5,000",NA,"average rent with roommates is about $800 in this area, so cost of living is over 50% of your paycheck. Car is required to get anywhere. The department is working to increase pay to $30k gross in the next 3 years
","physics"
"132","University of Connecticut (UConn)","Allied Health Sciences",32400,1.33,"2022-2023","2nd","$34,000",NA,NA,"$1,600","Not all students get a 12 month GA position. Many are offered 9 month positions, and left to scramble for the summer. 

Stipend amounts projected for the next few years are available here: https://ovpr.uconn.edu/services/sps/proposals/proposal-preparation/general-cost-principles/budgeting-costing-guide/salaries/","health"
"133","Johns Hopkins University (JHU)","Political Science",33000,1.28,"2022-2023","4th","$33,000",NA,NA,NA,NA,"political science"
"134","University of South Carolina (USC)","mathematics PhD",19950,0.88,"2022-2023","1st",NA,"$19,950",NA,NA,NA,"mathematics"
"135","University of Virginia (UVA)","Anthropology",30000,1.31,"2022-2023","5th","$30,000",NA,NA,NA,NA,"anthropology"
"136","National Institutes of Health (NIH)","Brown GPP, Neuroscience",44700,1.48,"2022-2023","3rd","$44,700",NA,NA,NA,NA,"neuroscience"
"137","Northwestern University (NU)","Computer Science and Learning Sciences",34796,1.43,"2022-2023","1st","$35,196",NA,NA,"$400",NA,"computer science"
"138","University of Maryland - Baltimore County (UMBC)","Human-Centered Computing",32700,1.27,"2022-2023","3rd","$33,250",NA,NA,"$550",NA,"human development"
"139","Princeton University","SPIA",48000,1.89,"2022-2023","1st","$48,000",NA,NA,NA,NA,"spia"
"140","Texas Tech University (TTU)","Nutritional Sciences",13550,0.67,"2022-2023","1st",NA,"$14,500",NA,"$950","Tuition is waived. International students pay fees of $950/ fall or spring Semester plus health insurance (Spring-Summer - $1800 & Fall - $1200) and if enrolled in summer, students pay fees of $650 after TA/RA waiver.","nutrition"
"141","Virginia Commonwealth University (VCU)","Mechanical and Nuclear Engineering",28000,1.13,"2022-2023","1st","$28,000",NA,NA,NA,NA,"physics"
"142","The Catholic University of America","Early Christian Studies",29400,0.95,"2022-2023","3rd",NA,"$30,000",NA,"$600",NA,"early christian studies"
"143","Duke University (DU)","Mechanical Engineering & Materials Science",38600,1.74,"2022-2023","1st","$38,600",NA,NA,NA,NA,"material science"
"144","Harvard University (HU)","Immunology",22500,0.79,"2022-2023","3rd","$22,500",NA,NA,NA,NA,"imnunology"
"145","University of Florida (UF)","Computer science",29200,1.29,"2022-2023","1st","$30,000",NA,NA,"$800",NA,"computer science"
"146","University of California - Irvine (UCI)","software engineering",25000,0.86,"2022-2023",NA,"$25,000",NA,NA,NA,NA,"software engineering"
"147","University of Texas - Austin (UT)","Physics",32000,1.4,"2022-2023","4th","$32,000",NA,NA,NA,NA,"physics"
"148","University of Connecticut (UConn)","School of Engineering",28225,1.16,"2022-2023","1st",NA,"$28,225",NA,NA,NA,"school of engineering"
"149","University of Connecticut (UConn)","Computer Science",38687,1.59,"2022-2023","1st",NA,"$28,226","$10,461",NA,NA,"computer science"
"150","Cleveland State University (CSU)","Biology, Geology, and Environmental Sciences",21000,1.05,"2022-2023","1st","$21,000",NA,NA,NA,NA,"biology"
"151","New York University (NYU)","Media, Culture, and Communication",32000,1.08,"2022-2023",NA,NA,"$32,000",NA,NA,"This is the pre-tax base stipend, for 5 years.  Can work up to 20 hrs/wk as an RA, TA, or Adjunct Instructor for additional pay; this dept. pays the minimum specified in the grad worker/ adjunct union contract. No guaranteed summer funding.","film and media"
"152","Kennesaw State University","School of Data Science",36000,NA,"2022-2023","3rd","$36,000",NA,NA,NA,NA,"school of data science"
"153","University of Houston (UH)","Communication Sciences and Disorders",27000,1.24,"2022-2023","1st",NA,"$23,000","$4,000",NA,"Tuition covered, no health insurance covered,","communication"
"154","Auburn University (AU)","Student Affairs/Housing",16460,0.76,"2022-2023","3rd","$18,160",NA,NA,"$1,700",NA,"student affairs/housing"
"155","Stony Brook University - SUNY","Mathematics",22600,0.81,"2022-2023","1st",NA,"$23,000",NA,"$400",NA,"mathematics"
"156","University of California - Berkeley","Nuclear Engineering",44268,1.59,"2022-2023","4th","$44,268",NA,NA,NA,NA,"physics"
"157","Northern Arizona University (NAU)","Biological Sciences",19750,0.84,"2022-2023","3rd",NA,"$19,000","$1,500","$750","The average cost of living in Flagstaff is $2235, which is in the top 4% of the most expensive cities in the world.","biology"
"158","University of Wisconsin - Madison (UW)","Pharmaceutical Sciences",33000,1.45,"2022-2023","1st","$33,000",NA,NA,NA,NA,"pharmaceutical science"
"159","Baylor College of Medicine","Graduate School of Biomedical Sciences",35300,1.62,"2022-2023","1st","$35,500",NA,NA,"$200","plus full tuition scholarships ($22000) and student health insurance","biomed"
"160","Northeastern University (NU)","Computer Science",41500,1.45,"2022-2023","1st","$42,000",NA,NA,"$500",NA,"computer science"
"161","University of North Carolina - Greensboro (UNCG)","Nanoscience",16760,0.78,"2022-2023","2nd",NA,"$20,000","$4,000","$7,240","Required fees include taxes and student account fees which make up to $7240","material science"
"162","University of North Carolina - Greensboro (UNCG)","Nanoscience",21600,1.01,"2022-2023","2nd",NA,"$20,000","$4,000","$2,400","This amount is simply very low than what we need to survive in greensboro","material science"
"163","University of North Carolina - Greensboro (UNCG)","Nanoscience",21600,1.01,"2022-2023","2nd",NA,"$20,000","$4,000","$2,400","This amount is simply very low than what we need to survive in greensboro","material science"
"164","University of North Carolina - Greensboro (UNCG)","Nanoscience",14000,0.65,"2022-2023","2nd",NA,"$20,000",NA,"$6,000",NA,"material science"
"165","University of California - Davis (UCD)","Microbiology",39921,1.66,"2022-2023","2nd","$39,921",NA,NA,NA,NA,"biology"
"166","University of Nevada - Reno (UNR)","Computer Science and Engineering",24000,1.14,"2022-2023","2nd","$24,000",NA,NA,NA,NA,"computer science"
"167","Brown University","Comparative Literature",46271,2.03,"2022-2023","5th","$46,412",NA,NA,"$141",NA,"literature"
"168","University of Arizona (U of A)","Department of Mining and Geological Engineering",19750,0.95,"2022-2023","1st",NA,"$21,750",NA,"$2,000",NA,"geoscience"
"169","George Mason University (GMU)","Industrial-Organizational Psychology",30000,0.99,"2022-2023","1st",NA,"$23,000","$7,000",NA,"Summer is a research assistantship which must be applied for, but is basically always granted. $7000 is the max, but there are lower paying options available for people who dont want to work for the whole summer.","psychology"
"170","University of South Carolina (USC)","Physical Education",32500,1.44,"2022-2023","2nd",NA,"$26,500","$6,000",NA,"Summer pay was from a traineeship. Tuition is taken out of the 9 month pay.","education"
"171","University of Alberta","Chemical Engineering",14400,NA,"2022-2023","4th","$25,000",NA,NA,"$10,600",NA,"chemistry"
"172","Tulane University (TU)","Biomedical Sciences",29800,1.29,"2022-2023","3rd","$30,000",NA,NA,"$200",NA,"biomed"
"173","University of Colorado - Denver (UCD)","Microbiology",32800,1.46,"2022-2023","2nd","$34,000",NA,NA,"$1,200",NA,"biology"
"174","George Mason University (GMU)","Political Science",17700,0.59,"2022-2023","1st",NA,"$9,700","$8,000",NA,NA,"political science"
"175","Alfred University - New York State College of Ceramics","Engineering",17000,0.83,"2022-2023","1st","$17,000",NA,NA,NA,NA,"engineering"
"176","University of Maryland - College Park (UMD)","Biological Sciences Graduate Program",35224,1.16,"2022-2023","1st","$35,865",NA,NA,"$641","Received a one time Dean's fellowship of $2,500","biology"
"177","George Mason University (GMU)","Sociology",18000,0.6,"2022-2023","3rd",NA,"$18,000",NA,NA,"The only out of pocket costs I have are textbooks and Parking permits.","sociology"
"178","University of Washington (UW)","Sociology",23024,0.99,"2022-2023","1st",NA,"$23,274",NA,"$250",NA,"sociology"
"179","Massachusetts Institute of Technology (MIT)","Chemical Engineering",51300,1.84,"2022-2023","4th","$51,300",NA,NA,NA,"Students not on NSF GRFP fellowship have to pay a ""student life fee"" of $198 per fall and spring semester","chemistry"
"180","University of Illinois - Urbana- Champaign (UIUC)","Linguistics",19500,0.89,"2022-2023","4th",NA,"$20,000",NA,"$500","Graduate union won a bunch of things for next year- more money, less fes, summer health insurance, etc... which will make things survivable. During the summer, unless you do experimental work and your advisor hires you, there is NO summer funding.","linguistics"
