"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"682","University of Rochester (UR)","IMV",34470,1.61,"2022-2023","1st","$34,970",NA,NA,"$500",NA,"imv"
"683","Gwangju Institute of Science and Technology","Physics",12000,NA,"2019-2020","6th and up","$12,000",NA,NA,NA,NA,"physics"
"684","Boston College (BC)","Physics",34000,1.22,"2022-2023","2nd","$34,000",NA,NA,NA,"Insurance is covered","physics"
"685","Cornell University (CU)","Physics",41957,1.73,"2022-2023","1st","$42,000",NA,NA,"$43",NA,"physics"
"686","University of Alabama (UA)","Mathematics",18940,0.9,"2022-2023","1st",NA,"$19,440",NA,"$500",NA,"mathematics"
"687","Brown University","Pathobiology",42000,1.85,"2022-2023","4th","$42,000",NA,NA,NA,NA,"biology"
"688","University of Oklahoma Health Sciences Center","Biochemistry",30000,1.49,"2022-2023","6th and up","$30,000",NA,NA,NA,NA,"chemistry"
"689","Brown University","Economics",39940,1.76,"2022-2023","5th","$40,000",NA,NA,"$60",NA,"economics"
"690","University of Texas at Austin","Pharmaceutical Sciences",32000,NA,"2022-2023","1st","$32,000",NA,NA,NA,NA,"pharmaceutical science"
"691","Cornell University (CU)","biomedical engineering",41000,1.69,"2022-2023","3rd","$41,000",NA,NA,NA,NA,"biomed"
"692","University of Maryland - College Park (UMD)","Information Studies",29352,0.97,"2022-2023","3rd",NA,"$29,352",NA,NA,NA,"information science"
"693","University of Florida (UF)","Electrical and Computer Engineering",26000,1.14,"2022-2023","3rd","$28,000",NA,NA,"$2,000","Almost $2000 semester fee (3 semesters) needs to be paid out of pocket","electrical engineering"
"694","Stanford University (SU)","Chemistry",48000,1.67,"2022-2023","3rd","$48,000",NA,NA,NA,"Rent is between 1.1-2.0k a month","chemistry"
"695","University of Washington (UW)","Physics",30842,1.32,"2021-2022","5th","$31,862",NA,NA,"$1,020","Gross pay based on W2.","physics"
"696","Wayne State University","chemistry",25500,1.22,"2022-2023","1st",NA,"$21,000","$4,500",NA,"extra stipend for tuition and health benefits","chemistry"
"697","Cornell University (CU)","Chemical Engineering",39000,1.61,"2022-2023","1st","$39,000",NA,NA,NA,NA,"chemistry"
"698","Missouri University of Science & Technology, Rolla","Physics",19793,NA,"2022-2023","5th",NA,"$19,467","$4,326","$4,000",NA,"physics"
"699","Washington University in St. Louis (Wash U)","DBBS",35500,1.72,"2022-2023","2nd","$37,000",NA,NA,"$1,500",NA,"biomed"
"700","University of Texas - Austin (UT)","Physics",30000,1.31,"2021-2022","1st","$30,000",NA,NA,NA,NA,"physics"
"701","Wake Forest University (WFU)","Physiology/Pharmacology",29000,1.33,"2022-2023","2nd","$29,000",NA,NA,NA,NA,"pharmaceutical science"
"702","Boston College (BC)","Psychology",28000,1,"2020-2021","3rd","$28,000",NA,NA,NA,"This is an estimate from what people in the department have said.","psychology"
"703","Pennsylvania State University (Penn State)","Philosophy",30000,1.34,"2021-2022","5th",NA,"$30,000",NA,NA,"$8,220 of this $30,000/yr stipend is untaxed. 5-year contract.","philosophy"
"704","Columbia University (CU)","Graduate School of Arts and Sciences",46000,1.55,"2022-2023","1st","$46,000",NA,NA,NA,NA,"graduate school of arts and sciences"
"705","Baylor College of Medicine","Graduate School of Biomedical Sciences",35500,1.62,"2022-2023","3rd","$35,500",NA,NA,NA,NA,"biomed"
"706","University of Virginia (UVA)","Systems Engineering",35000,1.53,"2022-2023",NA,"$35,000",NA,NA,NA,NA,"systems engineering"
"707","Michigan State University (MSU)","Fisheries and Wildlife",37450,1.83,"2022-2023","1st","$37,500",NA,NA,"$50",NA,"fisheries and wildlife"
"708","University of Nevada - Las Vegas (UNLV)","Sociology",16355,0.72,"2022-2023",NA,NA,"$16,500",NA,"$145",NA,"sociology"
"709","South Dakota State University (SDSU)","Mechanical Engineering",18350,0.97,"2022-2023","1st",NA,"$15,750","$3,500","$900",NA,"mechanical engineering"
"710","University of New Hampshire (UNH)","DBS",19500,0.82,"2022-2023","5th",NA,"$20,000","$6,500","$7,000",NA,"dbs"
"711","Queen's University","Environmental Studies",15500,NA,"2022-2023","1st","$24,000",NA,NA,"$8,500",NA,"environment"
"712","University of Kansas (KU)","Linguistics",17000,0.83,"2022-2023","5th",NA,"$17,000",NA,NA,NA,"linguistics"
"713","University of Michigan - Ann Arbor (UM)","Applied Physics",36082,1.56,"2022-2023","1st","$36,082",NA,NA,NA,NA,"physics"
"714","University of California - Berkeley","Political Science",34000,1.22,"2022-2023","1st","$34,000",NA,NA,NA,NA,"political science"
"715","Royal Melbourne Institute of Technology (RMIT) University","Aerospace Engineering",33000,NA,"2022-2023","1st","$33,000",NA,NA,NA,NA,"aerospace"
"716","University of Illinois - Urbana- Champaign (UIUC)","Food Science",20000,0.91,"2016-2017","5th","$20,000",NA,NA,NA,NA,"nutrition"
"717","University of Tennessee - Knoxville","Plant Sciences",17000,0.8,"2022-2023","2nd","$17,000",NA,NA,NA,"Fees waived for anyone on a GRA, includes health insurance.","algruiculture"
"718","Iowa State University (ISU)","Geological and Atmospheric department",21900,1.03,"2022-2023","2nd",NA,"$18,900","$3,000",NA,NA,"geoscience"
"719","BCM","QCB",37500,NA,"2022-2023","1st","$37,500",NA,NA,NA,NA,"qcb"
"720","University of Kentucky (UK)","Computer science",24300,1.19,"2022-2023","1st",NA,"$20,000","$5,000","$700","Insurance covered. Possible summer stipend","computer science"
"721","Illinois Institute of Technology (IIT)","Applied Mathematics",17000,0.7,"2022-2023","5th",NA,"$18,000",NA,"$1,000","They dont cover health insurance.","mathematics"
"722","University of Notre Dame (ND)","Economics",27000,1.32,"2022-2023","1st","$27,000",NA,NA,NA,NA,"economics"
"723","University of Utah","Chemistry",30000,1.35,"2022-2023","3rd","$30,000",NA,NA,NA,"Updated info for 2022-2023 (previous entries incorrect)","chemistry"
"724","University of Utah","Chemistry",29000,1.3,"2022-2023","1st","$29,000",NA,NA,NA,"Updated info for 2022-2023 (previous entries incorrect)","chemistry"
"725","University of Kentucky (UK)","animal & food.science",17800,0.87,"2022-2023","1st","$18,000",NA,NA,"$200",NA,"nutrition"
"726","University of Chicago (UC)","Computer Science",39540,1.63,"2022-2023","3rd","$39,540",NA,NA,NA,NA,"computer science"
"727","Brigham Young University (BYU)","plant and wildlife science",21000,1.01,"2022-2023","2nd","$30,000",NA,NA,"$9,000","Funding provided by the BYU HIDRA program","algruiculture"
"728","University of Southern California (USC)","School of Education",36000,1.39,"2022-2023",NA,"$36,000",NA,NA,NA,NA,"education"
"729","Emory University","Psychology",34317,1.47,"2022-2023","1st","$34,317",NA,NA,NA,NA,"psychology"
"730","Emory University","business",37000,1.59,"2022-2023","1st","$37,000",NA,NA,NA,"Health Insurance is covered by University. $450 student fee per semester.","business"
"731","Kansas State University (K-State)","Entomology",25000,1.13,"2020-2021","5th","$25,000",NA,NA,NA,NA,"entomology"
"732","University of Colorado - Denver (UCD)","Pharmacology",36000,1.6,"2022-2023","6th and up","$36,000",NA,NA,NA,NA,"pharmaceutical science"
